W,L/D,theta,R,iso,pso
3.63,4,157.5,4.88,90.32,90.32
3.63,4,157.5,6.4,75.64,75.64
3.63,4,157.5,7.92,66.12,66.12
3.63,4,157.5,9.45,60.4,60.4
3.63,4,157.5,2.13,94.87,94.87
3.63,4,157.5,3.35,117.83,117.83
3.63,4,157.5,4.88,96.18,96.18
3.63,4,157.5,6.4,70.74,70.74
3.63,4,157.5,7.92,69.57,69.57
3.63,4,157.5,9.45,57.64,57.64
3.63,4,180,2.13,124.93,124.93
3.63,4,180,3.35,125.35,125.35
3.63,4,180,4.88,95.77,95.77
3.63,4,180,6.4,82.6,82.6
3.63,4,180,7.92,71.36,71.36
3.63,4,180,9.45,64.81,64.81
3.63,4,180,2.13,108.11,108.11
3.63,4,180,3.35,115.28,115.28
3.63,4,180,4.88,97.56,97.56
3.63,4,180,6.4,67.02,67.02
3.63,4,180,7.92,74.19,74.19
3.63,4,180,9.45,58.4,58.4
3.63,4,180,2.13,124.59,124.59
3.63,4,180,3.35,123,123
3.63,4,180,4.88,110.32,110.32
3.63,4,180,6.4,93.49,93.49
3.63,4,180,7.92,76.12,76.12
3.63,4,180,9.45,64.4,64.4
3.63,6,0,2.13,172.02,408.58
3.63,6,0,3.35,116.11,59.57
3.63,6,0,4.88,98.18,27.51
3.63,6,0,6.4,80.81,14.69
3.63,6,0,7.92,73.29,43.64
3.63,6,0,9.45,58.61,26.75
3.63,6,45,2.13,175.95,272.21
3.63,6,45,3.35,124.17,130.59
3.63,6,45,4.88,89.63,75.01
3.63,6,45,6.4,78.26,41.92
3.63,6,45,7.92,68.81,32.34
3.63,6,45,9.45,52.4,22.13
3.63,6,90,2.13,376.66,1003.26
3.63,6,90,3.35,132.31,244.76
3.63,6,90,4.88,75.5,77.91
3.63,6,90,6.4,76.88,42.4
3.63,6,90,7.92,61.29,31.37
3.63,6,90,9.45,45.37,19.99
3.63,6,90,2.13,228.01,517.52
3.63,6,90,3.35,118.38,236.7
3.63,6,90,4.88,95.7,82.19
3.63,6,90,6.4,68.33,50.95
3.63,6,90,7.92,54.4,28.27
3.63,6,90,9.45,38.96,18
3.63,6,135,2.13,136.72,259.93
3.63,6,135,3.35,108.59,120.66
3.63,6,135,4.88,91.36,63.85
3.63,6,135,6.4,70.95,43.44
3.63,6,135,7.92,58.47,28.34
3.63,6,135,9.45,46.19,20.82
3.63,6,180,2.13,124.38,169.89
3.63,6,180,3.35,120.38,47.71
3.63,6,180,4.88,112.94,20.82
3.63,6,180,6.4,90.05,59.85
3.63,6,180,7.92,73.91,33.23
3.63,6,180,9.45,50.68,22.68
7.26,1,0,3.35,458.98,794.83
7.26,1,0,4.88,190.43,293.37
